district,state,health_need_score,need_indicators_available
Gariyaband,Chhattisgarh,37.05,19
Nuapada,Odisha,36.98,18
Puruliya,West Bengal,36.97,22
Alwar,Rajasthan,36.94,22
Churachandpur,Manipur,36.93,19
Shimoga,Karnataka,36.9,19
Siddharthnagar,Uttar Pradesh,36.88,22
Koraput,Odisha,36.88,21
Malkangiri,Odisha,36.87,19
Karimganj,Assam,36.87,22
Paschim Medinipur,West Bengal,36.86,19
Kheda,Gujarat,36.82,22
Nagarkurnool,Telangana,36.74,19
Mokokchung,Nagaland,36.73,18
Sonbhadra,Uttar Pradesh,36.71,19
Khunti,Jharkhand,36.7,22
Damoh,Madhya Pradesh,36.66,22
Dumka,Jharkhand,36.62,19
Tamenglong,Manipur,36.61,19
Ballia,Uttar Pradesh,36.61,22
Bangalore,Karnataka,36.61,18
Umaria,Madhya Pradesh,36.52,18
Tehri Garhwal,Uttarakhand,36.5,19
Bharuch,Gujarat,36.49,21
Mandla,Madhya Pradesh,36.48,22
Tinsukia,Assam,36.47,19
North Tripura,Tripura,36.46,19
Pathankot,Punjab,36.44,18
Sangareddy,Telangana,36.43,22
Theni,Tamil Nadu,36.4,18
Janjgir - Champa,Chhattisgarh,36.35,19
Cachar,Assam,36.29,19
Katni,Madhya Pradesh,36.28,19
Bangalore Rural,Karnataka,36.18,18
West Tripura,Tripura,36.16,18
Kolhapur,Maharastra,36.11,19
Dindigul,Tamil Nadu,36.1,18
Muktsar,Punjab,36.09,19
Khandwa (East Nimar),Madhya Pradesh,36.09,18
Mon,Nagaland,36.08,18
Bageshwar,Uttarakhand,36.06,18
Kodagaon,Chhattisgarh,36.04,22
Anugul,Odisha,36.01,22
Jagitial,Telangana,36.0,19
Balod,Chhattisgarh,35.99,18
Bhadradri Kothagudem,Telangana,35.96,19
Singrauli,Madhya Pradesh,35.95,18
Purbi Singhbhum,Jharkhand,35.92,18
Seoni,Madhya Pradesh,35.92,18
Nalbari,Assam,35.9,19
Tarn Taran,Punjab,35.82,18
Purba Barddhaman,West Bengal,35.81,19
Giridih,Jharkhand,35.81,22
Firozpur,Punjab,35.8,19
Bemetara,Chhattisgarh,35.79,18
Hyderabad,Telangana,35.76,18
Gandhinagar,Gujarat,35.76,22
Fatehgarh Sahib,Punjab,35.75,18
Mirzapur,Uttar Pradesh,35.75,19
Rayagada,Odisha,35.72,19
Bankura,West Bengal,35.72,22
Haora,West Bengal,35.72,19
North West,NCT of Delhi,35.69,22
Thanjavur,Tamil Nadu,35.68,19
Chamarajanagar,Karnataka,35.67,19
Pakur,Jharkhand,35.65,19
Nirmal,Telangana,35.62,19
Dharmapuri,Tamil Nadu,35.56,18
Palamu,Jharkhand,35.56,19
Chikmagalur,Karnataka,35.55,19
Adilabad,Telangana,35.53,22
South Garo Hills,Meghalaya,35.52,19
South West,NCT of Delhi,35.51,19
Suryapet,Telangana,35.5,19
Hassan,Karnataka,35.49,18
Balaghat,Madhya Pradesh,35.45,18
Khargone (West Nimar),Madhya Pradesh,35.44,18
Shahdol,Madhya Pradesh,35.43,18
Kannur,Kerala,35.39,19
Davanagere,Karnataka,35.37,22
Dhubri,Assam,35.36,22
Hamirpur,Uttar Pradesh,35.35,22
Sheopur,Madhya Pradesh,35.33,18
Baran,Rajasthan,35.32,19
Gadchiroli,Maharastra,35.31,18
Udupi,Karnataka,35.3,19
Godda,Jharkhand,35.3,22
Malappuram,Kerala,35.29,19
Kheri,Uttar Pradesh,35.27,19
Bargarh,Odisha,35.27,18
Fazilka,Punjab,35.26,19
Etah,Uttar Pradesh,35.23,22
Azamgarh,Uttar Pradesh,35.2,19
Medchal-Malkajgiri,Telangana,35.2,19
Lunglei,Mizoram,35.2,18
Nagapattinam,Tamil Nadu,35.19,19
Mahesana,Gujarat,35.17,22
South Andaman,Andaman & Nicobar Islands,35.14,19
Latehar,Jharkhand,35.07,22
Champhai,Mizoram,35.05,18
Chamoli,Uttarakhand,35.04,18
Varanasi,Uttar Pradesh,35.04,18
Barwani,Madhya Pradesh,35.01,19
Narsimhapur,Madhya Pradesh,35.01,18
East Garo Hills,Meghalaya,34.97,22
Coimbatore,Tamil Nadu,34.93,18
