financial_year,csr_state,csr_development_sector,total_csr_spent_inr,total_projects,average_project_spend_inr,median_project_spend_inr,maximum_project_spend_inr,minimum_project_spend_inr,total_csr_spent_cr,average_project_spend_cr,sector_project_share,sector_spending_share
FY 2024-25,Chhattisgarh,Livelihood enhancement projects,319020490.05,65,4908007.5392307695,1000000.0,46636000.0,40400.0,31.902049005000002,0.4908007539230769,0.04616477272727273,0.058313729155593276
FY 2024-25,Chhattisgarh,"Poverty, Eradicating Hunger, Malnutrition",252117853.81,114,2211560.121140351,662044.0,56700000.0,0.0,25.211785381,0.2211560121140351,0.08096590909090909,0.0460846017760852
FY 2024-25,Chhattisgarh,Environmental sustainability,213517334.05,94,2271461.000531915,804375.0,25715916.0,0.0,21.351733405,0.22714610005319152,0.06676136363636363,0.039028815941774125
FY 2024-25,Chhattisgarh,Safe drinking water,136289292.12,56,2433737.3592857146,184000.0,91826000.0,4950.0,13.628929212000001,0.24337373592857145,0.03977272727272727,0.02491230850484744
FY 2024-25,Chhattisgarh,Art and culture,88943630.95,54,1647104.276851852,500000.0,14005664.0,5000.0,8.894363095000001,0.1647104276851852,0.03835227272727273,0.016257998990975294
FY 2024-25,Chhattisgarh,Vocational skills,59612824.1,31,1922994.3258064517,377000.0,25613896.0,0.0,5.96128241,0.19229943258064516,0.022017045454545456,0.010896623217595184
FY 2024-25,Chhattisgarh,Sanitation,59422142.24,21,2829625.820952381,557935.0,38684000.0,31826.0,5.942214224,0.2829625820952381,0.014914772727272728,0.010861768496078136
FY 2024-25,Chhattisgarh,Training to promote sports,56478755.06,41,1377530.6112195123,500000.0,7609155.0,0.0,5.647875506,0.13775306112195124,0.02911931818181818,0.010323746995366178
FY 2024-25,Chhattisgarh,Socio-economic equalities,55624575.54,19,2927609.238947368,1405000.0000000002,19999713.0,10600.0,5.562457554,0.29276092389473685,0.013494318181818182,0.010167611591111335
FY 2024-25,Chhattisgarh,Women empowerment,39502350.58,31,1274269.373548387,1000000.0,6739000.000000001,11000.0,3.9502350579999996,0.1274269373548387,0.022017045454545456,0.007220631415776401
FY 2024-25,Chhattisgarh,Conservation of natural resources,31702824.61,12,2641902.0508333333,1666667.0,9900000.0,0.0,3.1702824609999998,0.26419020508333335,0.008522727272727272,0.00579495670477175
FY 2024-25,Chhattisgarh,Senior Citizens Welfare,26670955.0,18,1481719.7222222222,709896.5,6100000.0,100000.0,2.6670955,0.14817197222222223,0.01278409090909091,0.004875181672334768
FY 2024-25,Chhattisgarh,Gender equality,22910156.0,8,2863769.5,875000.0,16160380.0,35000.0,2.2910156,0.28637695,0.005681818181818182,0.004187745532228989
FY 2024-25,Chhattisgarh,Animal welfare,21423676.0,36,595102.1111111111,200000.0,4875000.0,3100.0,2.1423676,0.059510211111111114,0.02556818181818182,0.003916031975204421
FY 2024-25,Chhattisgarh,Special education,12640997.14,11,1149181.5581818183,500000.0,9000000.0,12997.14,1.264099714,0.11491815581818184,0.0078125,0.0023106468282430913
FY 2024-25,Chhattisgarh,"Armed Forces, Veterans, War Widows/ Dependants",5829000.0,6,971500.0,150000.0,3402000.0,7000.0,0.5829,0.09715,0.004261363636363636,0.0010654824309080557
FY 2024-25,Chhattisgarh,Slum area development,4380146.0,5,876029.2,144121.0,4000000.0,9600.0,0.4380146,0.08760292,0.0035511363636363635,0.0008006465273309653
FY 2024-25,Chhattisgarh,Agro forestry,824000.0,2,412000.0,412000.0,800000.0,24000.0,0.0824,0.0412,0.0014204545454545455,0.00015061889227453043
FY 2024-25,Chhattisgarh,Setting up homes and hostels for women,164000.0,1,164000.0,164000.0,164000.0,164000.0,0.0164,0.0164,0.0007102272727272727,2.997754652065897e-05
FY 2024-25,Dadra & Nagar Haveli,Education,62541711.64,38,1645834.5168421052,300000.0,12000000.0,0.0,6.254171164,0.1645834516842105,0.24358974358974358,0.2719568495811808
FY 2024-25,Dadra & Nagar Haveli,Health care,45215536.13,32,1412985.5040625,807109.0,7011450.0,14000.0,4.521553613,0.14129855040625,0.20512820512820512,0.19661557759756346
FY 2024-25,Dadra & Nagar Haveli,"Poverty, Eradicating Hunger, Malnutrition",38681932.0,18,2148996.222222222,761015.0,15015000.0,10000.0,3.8681932,0.2148996222222222,0.11538461538461539,0.16820480422709239
FY 2024-25,Dadra & Nagar Haveli,Environmental sustainability,37298575.8,15,2486571.7199999997,785300.0,19715628.0,15000.0,3.7298575799999996,0.24865717199999998,0.09615384615384616,0.16218940771594254
FY 2024-25,Dadra & Nagar Haveli,Rural development projects,14026957.319999998,12,1168913.1099999999,685000.0,6037257.0,4000.0,1.4026957319999998,0.11689131099999998,0.07692307692307693,0.0609949267764697
FY 2024-25,Dadra & Nagar Haveli,Vocational skills,9730624.1,4,2432656.025,853064.05,8022739.0,1756.9999999999998,0.9730624099999999,0.24326560249999998,0.02564102564102564,0.042312719068632015
FY 2024-25,Dadra & Nagar Haveli,Gender equality,9703438.0,1,9703438.0,9703438.0,9703438.0,9703438.0,0.9703438,0.9703438,0.00641025641025641,0.04219450282679078
FY 2024-25,Dadra & Nagar Haveli,Setting up homes and hostels for women,6283000.0,3,2094333.3333333333,1100000.0,4183000.0,1000000.0,0.6283,0.20943333333333333,0.019230769230769232,0.027321044485544864
FY 2024-25,Dadra & Nagar Haveli,Animal welfare,2040759.0,1,2040759.0,2040759.0,2040759.0,2040759.0,0.2040759,0.2040759,0.00641025641025641,0.008874051794250526
FY 2024-25,Dadra & Nagar Haveli,Livelihood enhancement projects,1656946.0,19,87207.68421052632,9857.0,400000.0,2655.0,0.1656946,0.008720768421052632,0.12179487179487179,0.007205076456493016
FY 2024-25,Dadra & Nagar Haveli,Women empowerment,1622150.0,2,811075.0,811075.0,1206150.0,416000.0,0.162215,0.0811075,0.01282051282051282,0.007053769268220054
FY 2024-25,Dadra & Nagar Haveli,Setting up orphanage,549172.0,1,549172.0,549172.0,549172.0,549172.0,0.0549172,0.0549172,0.00641025641025641,0.002388023657841102
FY 2024-25,Dadra & Nagar Haveli,Socio-economic equalities,208200.00000000003,1,208200.00000000003,208200.00000000003,208200.00000000003,208200.00000000003,0.02082,0.02082,0.00641025641025641,0.0009053384469028237
FY 2024-25,Dadra & Nagar Haveli,Training to promote sports,195510.0,4,48877.5,8115.0,174780.0,4500.0,0.019551,0.00488775,0.02564102564102564,0.000850157155398516
FY 2024-25,Dadra & Nagar Haveli,Safe drinking water,186650.0,1,186650.0,186650.0,186650.0,186650.0,0.018665,0.018665,0.00641025641025641,0.0008116302647185977
FY 2024-25,Dadra & Nagar Haveli,Sanitation,25960.0,2,12980.0,12980.0,19470.0,6489.999999999999,0.002596,0.001298,0.01282051282051282,0.0001128846593736662
FY 2024-25,Dadra & Nagar Haveli,Art and culture,2124.0,2,1062.0,1062.0,1416.0,708.0,0.0002124,0.0001062,0.01282051282051282,9.236017585118143e-06
FY 2024-25,Daman and Diu,Education,45030477.0,17,2648851.588235294,1050342.0,15000000.0,51000.00000000001,4.5030477,0.2648851588235294,0.265625,0.3498320826315633
FY 2024-25,Daman and Diu,Health care,40046806.199999996,19,2107726.6421052627,1000000.0,10980669.999999998,50495.0,4.004680619999999,0.21077266421052626,0.296875,0.3111150169625918
FY 2024-25,Daman and Diu,Training to promote sports,16277942.0,6,2712990.3333333335,2132500.0,5090993.0,921949.0,1.6277942,0.27129903333333333,0.09375,0.12645982743677786
FY 2024-25,Daman and Diu,"Poverty, Eradicating Hunger, Malnutrition",12967999.02,4,3241999.755,181322.0,12596517.02,8838.0,1.296799902,0.3241999755,0.0625,0.10074559291767378
FY 2024-25,Daman and Diu,Rural development projects,6009158.0,5,1201831.6,877920.0,3406280.0,9958.0,0.6009158,0.12018316000000001,0.078125,0.04668385498119684
FY 2024-25,Daman and Diu,Art and culture,4986000.0,3,1662000.0,21000.0,4965000.0,0.0,0.4986,0.1662,0.046875,0.03873516072239196
FY 2024-25,Daman and Diu,Socio-economic equalities,1085000.0,3,361666.6666666667,300000.0,635000.0,150000.0,0.1085,0.036166666666666666,0.046875,0.008429131444804509
