company_name,financial_year,psu/non_psu,csr_state,csr_development_sector,csr_sub_development_sector,project_amount_spent_in_inr_cr,project_amount_spent_inr,project_amount_spent_inr_lakh
NORTH EASTERN ELECTRIC POWER CORPORATION LIMITED,FY 2024-25,PSU,Tripura,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.00630502,63050.2,0.630502
NIKHIL CONSTRUCTIONGROUP PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.01,100000.0,1.0
ENTERPRISE SYSTEM SOLUTIONS PRIVATE LIMITED,FY 2024-25,Non-PSU,Odisha,Education,"Education, Differently Abled, Livelihood",0.04,400000.0,4.0
GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED,FY 2024-25,Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.3661628,3661628.0,36.61628
CARGILL BUSINESS SERVICES INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Haryana,Education,"Education, Differently Abled, Livelihood",0.1,1000000.0,10.0
INVENTURE GROWTH AND SECURITIES LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",3e-07,3.0,2.9999999999999997e-05
SOUJANYA COLOR PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Art and culture,Heritage Art And Culture,0.05,500000.0,5.0
SOFTWARE AG BANGALORE TECHNOLOGIES PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.1,1000000.0,10.0
PERONI PUMPS INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.09,900000.0,9.0
BHILOSA INDUSTRIES PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",3.9,39000000.0,390.0
GEBERIT PLUMBING TECHNOLOGY INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Tamil Nadu,Education,"Education, Differently Abled, Livelihood",0.02,200000.0,2.0
HELVOET RUBBER & PLASTIC TECHNOLOGIES (INDIA) PRIVATE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.005,50000.0,0.5
OM SHREE INTERNATIONAL PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0231012,231012.0,2.31012
AIR WATER INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,West Bengal,Training to promote sports,Encouraging Sports,0.1565,1565000.0,15.65
SSAB SWEDISH STEEL (INDIA) PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.1234934,1234934.0,12.34934
PERFORMANCE SPECIALTY PRODUCTS (INDIA) PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.2411444,2411444.0,24.114440000000002
PROGRESS SOFTWARE DEVELOPMENT PRIVATE LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Rural development projects,Rural Development,0.0216,216000.0,2.16
NIYA HEALTHCARE PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.005,50000.0,0.5
ROTEX AUTOMATION LIMITED,FY 2024-25,Non-PSU,Gujarat,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",0.1,1000000.0,10.0
EXL SERVICE.COM(INDIA) PRIVATE LIMITED,FY 2024-25,Non-PSU,Uttar Pradesh,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.55,5500000.0,55.00000000000001
MAHADHAN AGRITECH LIMITED,FY 2024-25,Non-PSU,Maharashtra,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.1665241,1665241.0,16.65241
ALAN ELECTRONIC SYSTEMS PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Agro forestry,"Environment, Animal Welfare, Conservation Of Resources",0.003,30000.0,0.3
URMILA INTERNATIONAL SERVICES PRIVATE LIMITED,FY 2024-25,Non-PSU,Bihar,Education,"Education, Differently Abled, Livelihood",0.034,340000.0,3.4000000000000004
B FOURESS PRIVATE LIMITED,FY 2024-25,Non-PSU,Karnataka,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.036,360000.0,3.5999999999999996
HIDESIGN INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Puducherry,Training to promote sports,Encouraging Sports,0.02,200000.0,2.0
NMT SHIPPING PVT LTD,FY 2024-25,Non-PSU,Madhya Pradesh,Livelihood enhancement projects,"Education, Differently Abled, Livelihood",0.03,300000.0,3.0
SICK INDIA PRIVATE LIMITED,FY 2024-25,Non-PSU,Maharashtra,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",0.0124,124000.0,1.24
DIAMINES AND CHEMICALS LIMITED,FY 2024-25,Non-PSU,Gujarat,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.04143,414300.0,4.143
DELHIVERY LIMITED,FY 2024-25,Non-PSU,Rajasthan,Rural development projects,Rural Development,0.1238769,1238769.0,12.38769
SHRI PRABHULINGESHWAR SUGARS AND CHEMICALS LIMITED,FY 2024-25,Non-PSU,Karnataka,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0025,25000.0,0.25
MACMET ENGINEERING LIMITED,FY 2024-25,Non-PSU,West Bengal,Education,"Education, Differently Abled, Livelihood",0.069768,697680.0,6.9768
