"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"GTPL KOLKATA CABLE & BROAD BAND PARISEVA LIMITED","FY 2024-25",Non-PSU,"West Bengal","Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.011025
"EXPLEO SOLUTIONS LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.07
"BIG BAGS INTERNATIONAL PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Special education","Education, Differently Abled, Livelihood",0.012527
"CSB BANK LIMITED","FY 2024-25",Non-PSU,Kerala,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
"SHIVAM IRON & STEEL COMPANY LIMITED","FY 2024-25",Non-PSU,Jharkhand,"Rural development projects","Rural Development",0.001125
"SOUTH EASTERN COALFIELDS LIMITED","FY 2024-25",PSU,Chhattisgarh,"Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0489
"NARAYANA HRUDAYALAYA LIMITED","FY 2024-25",Non-PSU,"Jammu and Kashmir",Education,"Education, Differently Abled, Livelihood",0.03
"ATLANTA ELECTRICALS LIMITED","FY 2024-25",Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.002
"THE KARUR VYSYA BANK LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.09744
"MADHYA BHARAT AGRO PRODUCTS LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.0321
"SHREYANS INDUSTRIES LIMITED","FY 2024-25",Non-PSU,Punjab,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.09
"MAGADH SUGAR & ENERGY LIMITED","FY 2024-25",Non-PSU,Bihar,Education,"Education, Differently Abled, Livelihood",0.0475445
"BOSCH LIMITED","FY 2024-25",Non-PSU,Telangana,"Vocational skills","Education, Differently Abled, Livelihood",0.1245425
"TATA SONS PRIVATE LIMITED","FY 2024-25",Non-PSU,Puducherry,Education,"Education, Differently Abled, Livelihood",0.10323
"NGL FINE-CHEM LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Senior Citizens Welfare","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.1
"RELIANCE INDUSTRIAL INVESTMENTS AND HOLDINGS LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.75
"MUNJAL SHOWA LIMITED","FY 2024-25",Non-PSU,Haryana,Education,"Education, Differently Abled, Livelihood",0.042
"AEGIS LOGISTICS LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0605
"ASPINWALL AND COMPANY LIMITED","FY 2024-25",Non-PSU,Kerala,"Rural development projects","Rural Development",0.025
"JADCHERLA EXPRESSWAYS PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.0345693
"INFO EDGE (INDIA) LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Conservation of natural resources","Environment, Animal Welfare, Conservation Of Resources",0.2
"NITIN SPINNERS LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Vocational skills","Education, Differently Abled, Livelihood",1.0
"MICROLAND LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0399444
"INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED","FY 2024-25",PSU,Delhi,"Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0042
"THE UGAR SUGAR WORKS LTD","FY 2024-25",Non-PSU,Maharashtra,"Vocational skills","Education, Differently Abled, Livelihood",0.03
"BLACKHAWK NETWORK (INDIA) PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0625
"INTERNATIONAL TRACTORS LIMITED","FY 2024-25",Non-PSU,Punjab,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.49425
"KHYBER INDUSTRIES PRIVATE LIMITED","FY 2024-25",Non-PSU,"Jammu and Kashmir","Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0346978
"VEEDOL CORPORATION LIMITED","FY 2024-25",Non-PSU,"West Bengal",Education,"Education, Differently Abled, Livelihood",0.04
"MCAFEE SOFTWARE (INDIA) PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Rural development projects","Rural Development",0.1245
"FEDERAL OPERATIONS AND SERVICES LIMITED","FY 2024-25",Non-PSU,Kerala,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.00279
"EVEREST KANTO CYLINDER LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.15
"GREEN FORTUNE COMMUNICATIONS PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.03
"TRIDENT LIMITED","FY 2024-25",Non-PSU,Punjab,Education,"Education, Differently Abled, Livelihood",0.1
"VENUS REMEDIES LIMITED","FY 2024-25",Non-PSU,Kerala,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.01
"CENTURY PHARMACEUTICALS LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.035813
"ZEN TECHNOLOGIES LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.22
"MAHANAGAR GAS LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2822088
"MANGALORE REFINERY AND PETROCHEMICALS LIMITED","FY 2024-25",PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.48797532400000004
"ENVIRO INFRA ENGINEERS LIMITED","FY 2024-25",Non-PSU,"Madhya Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0186475
"SARDA METALS & ALLOYS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Rural development projects","Rural Development",0.6996311
"KALYANI STRATEGIC SYSTEMS LIMITED","FY 2024-25",Non-PSU,"Jammu and Kashmir","Armed Forces, Veterans, War Widows/ Dependants","Other Sectors ( Technology Incubator And Benefits To Armed Forces And Admin Overheads )",0.29452
"ROSSELL INDIA LIMITED","FY 2024-25",Non-PSU,"West Bengal","Setting up homes and hostels for women","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0289
"N. RANGA RAO & SONS PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.05
"SOFTEON INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.08
"CORNING TECHNOLOGIES INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0456985
"AUGMONT ENTERPRISES LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.0331
"GRASIM INDUSTRIES LTD","FY 2024-25",Non-PSU,"Madhya Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2274552
"RELIANCE CORPORATE IT PARK LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.515
"ASTRAL LIMITED","FY 2024-25",Non-PSU,"Madhya Pradesh","Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.01625
"AXTEL INDUSTRIES LIMITED","FY 2024-25",Non-PSU,Gujarat,"Socio-economic equalities","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.03
"HONDA MOTORCYCLE AND SCOOTER INDIA PVT LTD","FY 2024-25",Non-PSU,Haryana,Education,"Education, Differently Abled, Livelihood",0.2
"PANAMA PETROCHEM LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0068391
"MPS LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.11
"MAHARASHTRA TRANSMISSION COMMUNICATION INFRASTRUCTURE LIMITED","FY 2024-25",Non-PSU,Uttarakhand,Education,"Education, Differently Abled, Livelihood",0.2561117
"VISWAAT CHEMICALS LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"CHOLAMANDALAM MS GENERAL INSURANCE COMPANY LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Art and culture","Heritage Art And Culture",0.05
"KOMATSU INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.044
"STYRENIX PERFORMANCE MATERIALS LIMITED","FY 2024-25",Non-PSU,Gujarat,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0500247
"FINE ORGANIC INDUSTRIES LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"BHARAT PETROLEUM CORPORATION LIMITED","FY 2024-25",PSU,"West Bengal",Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.025252
"TVS MOTOR COMPANY LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.4391
"MUSARUBRA SOFTWARE INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh",Education,"Education, Differently Abled, Livelihood",0.004044
"KALYAN JEWELLERS INDIA LIMITED","FY 2024-25",Non-PSU,Kerala,"Special education","Education, Differently Abled, Livelihood",0.0005
"MANGALORE CHEMICALS AND FERTILISERS LIMITED","FY 2024-25",Non-PSU,Karnataka,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.4506422
"COAL INDIA LIMITED","FY 2024-25",PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.3553696
"SYRMA JOHARI MEDTECH LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Training to promote sports","Encouraging Sports",0.0372533
"EMCURE PHARMACEUTICALS LIMITED","FY 2024-25",Non-PSU,Gujarat,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.02
"HINDUSTAN PETROLEUM CORPORATION LIMITED","FY 2024-25",PSU,Haryana,Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.074032
"ORIENTAL AROMATICS LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.005
"P. N. GADGIL & SONS LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Art and culture","Heritage Art And Culture",0.215
"IFL FINANCE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh",Education,"Education, Differently Abled, Livelihood",0.0471
"CIPLA LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2133043
"PNB HOUSING FINANCE LIMITED","FY 2024-25",Non-PSU,Punjab,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.175
"DEEPAK NOVOCHEM TECHNOLOGIES LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0313295
"APPASAMY ASSOCIATES PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.478
"KANCHANJUNGA POWER COMPANY PRIVATE LIMITED","FY 2024-25",Non-PSU,"Himachal Pradesh","Art and culture","Heritage Art And Culture",0.001
"IDMC LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.3304
"ZF WIND POWER COIMBATORE PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.522
"FERRO FOUNDRIES PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,"Special education","Education, Differently Abled, Livelihood",0.0365
"CHENNAI PETROLEUM CORPORATION LIMITED","FY 2024-25",PSU,Karnataka,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1244
"SANMAAN EXPORTS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0942421
"HINDALCO INDUSTRIES LIMITED","FY 2024-25",Non-PSU,Jharkhand,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",2.1281185
"SOUTH EASTERN COALFIELDS LIMITED","FY 2024-25",PSU,Chhattisgarh,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
"IDBI BANK LIMITED","FY 2024-25",PSU,"PAN India",Education,"Education, Differently Abled, Livelihood",0.08535000200000001
"RELIANCE INDUSTRIES LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",4.02
"MARUTI SUZUKI INDIA LIMITED","FY 2024-25",Non-PSU,Haryana,"Rural development projects","Rural Development",0.20557435200000002
"GAIL (INDIA) LIMITED","FY 2024-25",PSU,"Uttar Pradesh",Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0067569
"POWER GRID CORPORATION OF INDIA LIMITED","FY 2024-25",PSU,"Arunachal Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.113792
"NHPC LIMITED","FY 2024-25",PSU,"Jammu and Kashmir",Education,"Education, Differently Abled, Livelihood",0.113954
"NTPC LIMITED","FY 2024-25",PSU,Assam,"Rural development projects","Rural Development",0.184430227
"TAMILNAD MERCANTILE BANK LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.03
"L&T TECHNOLOGY SERVICES LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.27
"LARSEN AND TOUBRO LIMITED","FY 2024-25",Non-PSU,Gujarat,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.14774104
"NOSCH LABS PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.00944
"TATA MOTORS PASSENGER VEHICLES LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Conservation of natural resources","Environment, Animal Welfare, Conservation Of Resources",0.5
"UJJIVAN SMALL FINANCE BANK LIMITED","FY 2024-25",Non-PSU,Gujarat,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1964576
"INDIAN OIL CORPORATION LIMITED","FY 2024-25",PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.65
"WONDER CEMENT LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.01763
"SUNDARAM FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.02
"ASIAN PAINTS LIMITED","FY 2024-25",Non-PSU,Haryana,"Conservation of natural resources","Environment, Animal Welfare, Conservation Of Resources",0.3203703
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Bihar,Education,"Education, Differently Abled, Livelihood",0.0005
"COROMANDEL INTERNATIONAL LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2
"MAHINDRA AND MAHINDRA LIMITED","FY 2024-25",Non-PSU,Telangana,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.35
"DR.REDDY'S LABORATORIES LTD","FY 2024-25",Non-PSU,Uttarakhand,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.0368433
"SUMITOMO CHEMICAL INDIA LIMITED","FY 2024-25",Non-PSU,Gujarat,"Training to promote sports","Encouraging Sports",0.0356077
"TITAN COMPANY LIMITED","FY 2024-25",Non-PSU,Karnataka,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.9748797
"DABUR INDIA LIMITED","FY 2024-25",Non-PSU,Assam,"Vocational skills","Education, Differently Abled, Livelihood",0.0510625
"TATA STEEL LIMITED","FY 2024-25",Non-PSU,Jharkhand,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.2137178
"THE RAMCO CEMENTS LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Vocational skills","Education, Differently Abled, Livelihood",0.028224
"APOLLO TYRES LIMITED.","FY 2024-25",Non-PSU,Maharashtra,"Rural development projects","Rural Development",0.1210628
"PRUDENT CORPORATE ADVISORY SERVICES LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.0006
"ASK AUTOMOTIVE LIMITED","FY 2024-25",Non-PSU,Haryana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.022596
"HERO MOTOCORP LIMITED","FY 2024-25",Non-PSU,Uttarakhand,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.014621575
"INFOSYS LIMITED","FY 2024-25",Non-PSU,Karnataka,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2061696
"SUN PHARMA LABORATORIES LIMITED","FY 2024-25",Non-PSU,"Jammu and Kashmir","Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1051799
"KALPATARU PROJECTS INTERNATIONAL LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.0525
"THE SOUTH INDIAN BANK LIMITED","FY 2024-25",Non-PSU,Kerala,"Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.008
"CENTRAL COALFIELDS LIMITED","FY 2024-25",PSU,Jharkhand,"Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.08699366800000001
"CAN FIN HOMES LIMITED","FY 2024-25",Non-PSU,Karnataka,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0715
"HDFC BANK LIMITED","FY 2024-25",Non-PSU,Odisha,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.1062
"SHREE CEMENT LIMITED","FY 2024-25",Non-PSU,"West Bengal",Education,"Education, Differently Abled, Livelihood",0.37
"MAHANADI COALFIELDS LIMITED","FY 2024-25",PSU,Odisha,"Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.120873125
"MANGALORE REFINERY AND PETROCHEMICALS LIMITED","FY 2024-25",PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.034692
"GRASIM INDUSTRIES LTD","FY 2024-25",Non-PSU,"Madhya Pradesh","Rural development projects","Rural Development",0.0003893
"BHARAT PETROLEUM CORPORATION LIMITED","FY 2024-25",PSU,"Madhya Pradesh",Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.2380778
"KALYAN JEWELLERS INDIA LIMITED","FY 2024-25",Non-PSU,Kerala,"Special education","Education, Differently Abled, Livelihood",0.0005
"HINDUSTAN PETROLEUM CORPORATION LIMITED","FY 2024-25",PSU,"Uttar Pradesh","Vocational skills","Education, Differently Abled, Livelihood",0.012
"CHENNAI PETROLEUM CORPORATION LIMITED","FY 2024-25",PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.1333
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0071562
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.001914
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,"Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0066375
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.001479
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,"Training to promote sports","Encouraging Sports",0.0061225
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.000996
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0006815
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0014847
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",1.016052659
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.000474
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.4085769
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.000498
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",1.549725
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.001642
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.305536
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.001349
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.2498737
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Odisha,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.000637
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Odisha,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.00035
"NTPC LIMITED","FY 2024-25",PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.21448
"IDBI BANK LIMITED","FY 2024-25",PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0846
"RELIANCE INDUSTRIES LIMITED","FY 2024-25",Non-PSU,Gujarat,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0294105
"MARUTI SUZUKI INDIA LIMITED","FY 2024-25",Non-PSU,Haryana,"Rural development projects","Rural Development",4.774952097
"GAIL (INDIA) LIMITED","FY 2024-25",PSU,"Andhra Pradesh",Sanitation,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0140469
"POWER GRID CORPORATION OF INDIA LIMITED","FY 2024-25",PSU,"Uttar Pradesh","Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.010697410000000001
"NHPC LIMITED","FY 2024-25",PSU,Sikkim,Education,"Education, Differently Abled, Livelihood",0.11
"NTPC LIMITED","FY 2024-25",PSU,Assam,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.16368
"TAMILNAD MERCANTILE BANK LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu",Education,"Education, Differently Abled, Livelihood",0.1
"L&T TECHNOLOGY SERVICES LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.0665485
"LARSEN AND TOUBRO LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.2614697
"NOSCH LABS PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,"Rural development projects","Rural Development",0.2442436
"TATA MOTORS PASSENGER VEHICLES LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Conservation of natural resources","Environment, Animal Welfare, Conservation Of Resources",0.5
"UJJIVAN SMALL FINANCE BANK LIMITED","FY 2024-25",Non-PSU,Gujarat,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.034394
"INDIAN OIL CORPORATION LIMITED","FY 2024-25",PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.1058755
"WONDER CEMENT LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.0077
"SUNDARAM FINANCE LIMITED","FY 2024-25",Non-PSU,Goa,"Art and culture","Heritage Art And Culture",0.2
"ASIAN PAINTS LIMITED","FY 2024-25",Non-PSU,Telangana,"Conservation of natural resources","Environment, Animal Welfare, Conservation Of Resources",0.3877778
"IDFC FIRST BHARAT LIMITED","FY 2024-25",Non-PSU,Bihar,Education,"Education, Differently Abled, Livelihood",0.0005
"COROMANDEL INTERNATIONAL LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.35123
"MAHINDRA AND MAHINDRA LIMITED","FY 2024-25",Non-PSU,"Madhya Pradesh","Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.35
"DR.REDDY'S LABORATORIES LTD","FY 2024-25",Non-PSU,Chhattisgarh,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.1111833
"SUMITOMO CHEMICAL INDIA LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.0619382
"TITAN COMPANY LIMITED","FY 2024-25",Non-PSU,Jharkhand,Education,"Education, Differently Abled, Livelihood",0.35405
"DABUR INDIA LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Vocational skills","Education, Differently Abled, Livelihood",0.02
"TATA STEEL LIMITED","FY 2024-25",Non-PSU,Jharkhand,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.4746288
