"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"PALAK JEWELLERS PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.25
"MAA KALIKA TRANSPORT PRIVATE LIMITED","FY 2024-25",Non-PSU,Chhattisgarh,Education,"Education, Differently Abled, Livelihood",0.04
"GALAXY FREIGHT PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.05
"ASHOK GRIHA UDYOG KENDRA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh",Education,"Education, Differently Abled, Livelihood",0.0125
"INDO-MIM LIMITED","FY 2024-25",Non-PSU,Karnataka,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.6
"EMNAR PHARMA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.069
"EXCEL METAL ENGINEERING PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.0514
"SARALA FOODS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.025
"MONTANACAP HOLDINGS PRIVATE LIMITED","FY 2024-25",Non-PSU,Kerala,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.015
"ANSYS SOFTWARE PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Gender equality","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.032096
"HARISH COCONUT PRODUCTS PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.01
"TRANSOCEANIC AGRO COMM PRIVATE LIMITED","FY 2024-25",Non-PSU,Delhi,Education,"Education, Differently Abled, Livelihood",0.11
"MATRUBHOOMI GRANITES PVT LTD","FY 2024-25",Non-PSU,Maharashtra,"Special education","Education, Differently Abled, Livelihood",0.11
"K H EXPORTS INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Tamil Nadu","Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.48
"PCC LOGISTICS PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.02
"SE FREIGHT AND LOGISTICS INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.081585
"CHALIMEDA FEEDS PRIVATE LIMITED","FY 2024-25",Non-PSU,Telangana,"Rural development projects","Rural Development",0.15
"EXICOM TECHNOLOGIES INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.13
"MANICKBAG AUTOMOBILES PRIVATE LIMITED","FY 2024-25",Non-PSU,Karnataka,Education,"Education, Differently Abled, Livelihood",0.05
"ENTER 10 TELEVISION PRIVATE LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",0.05
"AUTOCOMP CORPORATION PANSE PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.005
"NEWGEN TREND CENTRE PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.02
"OMM AGROEXIM PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.00345
"SUNBEAM GENERATORS PRIVATE LIMITED","FY 2024-25",Non-PSU,"PAN India (Other Centralized Funds)","Prime Minister's National Relief Fund","Prime Minister's National Relief Fund",0.0601
"METALKRAFT LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.01
"SENSES ELECTRONICS PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.0105
"EAGLE INFRA INDIA LIMITED","FY 2024-25",Non-PSU,Rajasthan,Education,"Education, Differently Abled, Livelihood",1.5
"PAR FORMULATIONS PRIVATE LIMITED","FY 2024-25",Non-PSU,Maharashtra,Education,"Education, Differently Abled, Livelihood",0.219132
"FUSO GLASS INDIA PRIVATE LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Senior Citizens Welfare","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.0021
